comment_id,docket_id,agency,category,topic,posted_date,submitter_name,submitter_type,word_count,ai_score,ai_assisted,human_score
FINCEN-2025-0001-0097,FinCEN-2025-0001,FinCEN,finance,financial,2025-05-28,,Unknown,503,1.0,,0.0
FINCEN-2025-0001-0057,FinCEN-2025-0001,FinCEN,finance,financial,2025-04-29,,Unknown,227,0.0,,1.0
FINCEN-2025-0001-0079,FinCEN-2025-0001,FinCEN,finance,financial,2025-05-27,,Unknown,132,0.0,,0.0
FINCEN-2025-0001-0043,FinCEN-2025-0001,FinCEN,finance,financial,2025-04-09,,Unknown,78,0.0,,1.0
FINCEN-2025-0001-0008,FinCEN-2025-0001,FinCEN,finance,financial,2025-03-27,,Unknown,312,1.0,,0.0
FINCEN-2025-0001-0010,FinCEN-2025-0001,FinCEN,finance,financial,2025-03-27,,Unknown,620,1.0,,0.0
FINCEN-2025-0001-0049,FinCEN-2025-0001,FinCEN,finance,financial,2025-04-17,,Unknown,85,0.0,,1.0
FINCEN-2025-0001-0024,FinCEN-2025-0001,FinCEN,finance,financial,2025-04-01,,Unknown,75,0.0,,1.0
FINCEN-2025-0001-0028,FinCEN-2025-0001,FinCEN,finance,financial,2025-04-01,,Unknown,102,1.0,,0.0
FINCEN-2025-0001-0011,FinCEN-2025-0001,FinCEN,finance,financial,2025-03-27,,Unknown,65,0.0,,1.0
FINCEN-2025-0001-0004,FinCEN-2025-0001,FinCEN,finance,financial,2025-03-27,,Unknown,672,0.0,,1.0
FINCEN-2025-0001-0030,FinCEN-2025-0001,FinCEN,finance,financial,2025-04-02,,Unknown,91,0.0,,1.0
FINCEN-2025-0001-0038,FinCEN-2025-0001,FinCEN,finance,financial,2025-04-03,,Unknown,64,0.0,,1.0
FINCEN-2025-0001-0022,FinCEN-2025-0001,FinCEN,finance,financial,2025-03-31,,Unknown,230,0.0,,1.0
FINCEN-2025-0001-0014,FinCEN-2025-0001,FinCEN,finance,financial,2025-03-28,,Unknown,111,0.0,,1.0
FTC-2025-0002-0003,FTC-2025-0002,FTC,finance,competition,2025-01-06,,Unknown,66,0.0,,1.0
FTC-2025-0002-0009,FTC-2025-0002,FTC,finance,competition,2025-01-07,,Unknown,109,0.0,,1.0
FTC-2025-0002-0002,FTC-2025-0002,FTC,finance,competition,2025-01-06,,Unknown,344,0.0,,1.0
